procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58568340 167348 3308904    0    0     0     0 9158 14961  1  0 99  0  0
 0  0      0 58567836 167388 3308904    0    0     0    92 15660 27581  1  1 98  0  0
 0  0      0 58572188 167412 3308904    0    0     0    68 7124 10898  1  0 99  0  0
 0  0      0 58566604 167428 3308908    0    0     0    36 11667 19489  1  0 99  0  0
 0  0      0 58566604 167428 3308908    0    0     0     4 6448 9659  1  0 99  0  0
 0  0      0 58570328 167428 3308908    0    0     0     0 8167 13156  0  0 99  0  0
 0  0      0 58565092 167500 3308836    0    0     0   168 19266 34551  1  1 98  0  0
 0  0      0 58563576 167500 3308912    0    0     0     4 7321 10846  1  0 99  0  0
 0  0      0 58567804 167548 3308888    0    0     0   100 11149 18562  1  0 99  0  0
 0  0      0 58563580 167548 3308912    0    0     0     4 6920 10435  0  0 99  0  0
 0  0      0 58563580 167572 3308888    0    0     0    56 13159 22404  1  1 99  0  0
 0  0      0 58563452 167596 3308912    0    0     0    64 15528 27013  1  1 98  0  0
 0  0      0 58563324 167620 3308888    0    0     0    52 12926 22176  1  0 99  0  0
 0  0      0 58567808 167644 3308916    0    0     0    56 8760 14227  1  0 99  0  0
 0  0      0 58563072 167644 3308916    0    0     0     0 7598 12248  1  0 99  0  0
 0  0      0 58563076 167644 3308916    0    0     0     4 8578 13848  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 58562820 167692 3308916    0    0     0   104 10771 17771  1  1 99  0  0
 0  0      0 58566796 167756 3308916    0    0     0   152 12207 20604  1  1 98  0  0
 0  0      0 58567052 167756 3308916    0    0     0     0 5176 7607  0  0 99  0  0
 1  0      0 58567052 167756 3308916    0    0     0     4 9268 14997  0  1 99  0  0
 0  0      0 58566796 167772 3308900    0    0     0    44 9962 16308  1  0 99  0  0
 0  0      0 58562316 167820 3308920    0    0     0   104 13743 23747  1  1 98  0  0
 0  0      0 58566544 167836 3308904    0    0     0    48 12832 21468  0  1 99  0  0
 0  0      0 58566544 167844 3308928    0    0     0    44 6281 8890  0  0 99  0  0
 0  0      0 58562064 167844 3308924    0    0     0     0 7210 11289  0  0 99  0  0
 0  0      0 58562068 167868 3308900    0    0     0   124 13223 22280  1  1 98  0  0
 0  0      0 58566044 167892 3308924    0    0     0    52 12986 22373  1  1 99  0  0
 0  0      0 58565792 167940 3308924    0    0     0   100 10426 17426  1  1 99  0  0
 1  0      0 58561056 167940 3308924    0    0     0    64 7790 12433  0  1 99  0  0
 0  0      0 58565536 167940 3308924    0    0     0     0 10333 17391  1  2 96  0  0
 0  0      0 58561060 167988 3308884    0    0     0   116 12768 21388  1  0 99  0  0
 0  0      0 58561060 168028 3308896    0    0     0    84 12539 20814  1  1 99  0  0
 0  0      0 58565028 168028 3308932    0    0     0     0 11274 18915  1  0 99  0  0
 0  0      0 58561060 168028 3308932    0    0     0     0 5965 8759  1  0 99  0  0
 0  0      0 58561060 168028 3308932    0    0     0     0 9171 15198  0  1 99  0  0
 0  0      0 58565544 168076 3308908    0    0     0   132 13145 22842  1  1 99  0  0
 0  0      0 58560552 168100 3308908    0    0     0    72 10489 16882  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58572348 168124 3308912    0    0     0    52 12029 19991  0  0 99  0  0
 0  0      0 58571836 168124 3308936    0    0     0     0 9766 15659  1  0 99  0  0
 0  0      0 58567360 168172 3308888    0    0     0   116 9279 14490  1  0 99  0  0
 1  0      0 58571840 168172 3308988    0    0     0     4 8540 12997  1  1 99  0  0
 0  0      0 58571588 168196 3308964    0    0     0    96 11276 18472  1  0 99  0  0
 0  0      0 58567112 168244 3308952    0    0     0   104 13637 23368  1  0 99  0  0
 0  0      0 58571080 168244 3309000    0    0     0     0 10050 16648  1  1 99  0  0
 0  0      0 58566856 168292 3309000    0    0     0   100 12604 21168  0  1 99  0  0
 0  0      0 58566352 168292 3309000    0    0     0     4 7796 11893  1  0 99  0  0
 0  0      0 58566096 168332 3308984    0    0     0    88 9636 14923  1  0 99  0  0
 0  0      0 58570832 168360 3309000    0    0     0   104 10420 16530  1  1 99  0  0
 0  0      0 58566096 168360 3309004    0    0     0     0 8955 13821  1  0 99  0  0
 0  0      0 58570832 168376 3309012    0    0     0    56 14467 25122  1  1 99  0  0
 0  0      0 58566480 168400 3308988    0    0     0    60 11894 20232  1  1 99  0  0
 0  0      0 58562256 168400 3309012    0    0     0     0 8176 12766  1  0 99  0  0
 0  0      0 58566736 168448 3309016    0    0     0   160 10832 18370  1  1 99  0  0
 0  0      0 58562256 168464 3309000    0    0     0    52 10391 17679  0  0 99  0  0
 0  0      0 58562256 168488 3309016    0    0     0    52 7718 12308  1  0 99  0  0
 0  0      0 58566736 168520 3309016    0    0     0   124 12209 20430  1  0 99  0  0
 1  0      0 58566736 168544 3308992    0    0     0    56 10097 16043  1  0 99  0  0
 0  0      0 58562256 168568 3309016    0    0     0    52 7019 10619  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58562256 168592 3308992    0    0     0    56 8311 13166  0  0 99  0  0
 0  0      0 58562256 168616 3308992    0    0     0   136 12822 22073  1  1 99  0  0
 0  0      0 58562256 168664 3308972    0    0     0   100 10022 16575  1  0 98  0  0
 0  0      0 58561748 168680 3309020    0    0     0    44 10105 16684  1  0 99  0  0
 1  0      0 58562004 168680 3309020    0    0     0     0 7642 11876  1  0 99  0  0
 0  0      0 58561748 168704 3309020    0    0     0    56 13539 23706  1  1 99  0  0
 0  0      0 58562004 168728 3308996    0    0     0    76 8037 12316  1  0 99  0  0
 1  0      0 58566228 168752 3309024    0    0     0    52 12508 21198  1  1 99  0  0
 0  0      0 58566228 168752 3309024    0    0     0     4 7849 12315  1  0 99  0  0
 0  0      0 58562004 168800 3309004    0    0     0   104 16476 29287  1  1 98  0  0
 0  0      0 58565472 168800 3309028    0    0     0     0 6203 9399  1  0 99  0  0
 0  0      0 58561248 168816 3309028    0    0     0    56 8443 13837  0  0 99  0  0
 1  0      0 58565600 168856 3308988    0    0     0   108 11575 19805  1  0 99  0  0
 0  0      0 58560996 168880 3309032    0    0     0    60 11984 20633  1  1 99  0  0
 0  0      0 58560996 168904 3309032    0    0     0    52 11700 19953  1  1 99  0  0
 1  0      0 58561644 168920 3309032    0    0     0    36 7294 10969  1  0 99  0  0
 0  0      0 58561752 168944 3309032    0    0     0    52 13045 22470  1  1 99  0  0
 0  0      0 58561496 168944 3309032    0    0     0     0 9110 14781  1  0 99  0  0
 0  0      0 58561752 168984 3309032    0    0     0   100 13693 23346  1  1 99  0  0
 0  0      0 58561528 169024 3308992    0    0     0    88 11143 18718  1  1 99  0  0
 0  0      0 58561784 169048 3309036    0    0     0    68 10034 16519  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58561276 169048 3309032    0    0     0     0 7168 10910  0  0 99  0  0
 0  0      0 58565500 169048 3309032    0    0     0     0 7069 10720  0  0 99  0  0
 0  0      0 58561020 169088 3309008    0    0     0   116 10552 17660  1  0 99  0  0
 0  0      0 58565500 169088 3309032    0    0     0     4 8068 12948  1  0 99  0  0
 0  0      0 58561276 169136 3308984    0    0     0   120 10384 16707  1  0 99  0  0
 0  0      0 58561276 169136 3309040    0    0     0     0 6230 8878  0  0 99  0  0
 0  0      0 58564748 169160 3309016    0    0     0    56 9301 14795  1  0 99  0  0
 0  0      0 58563736 169184 3309040    0    0     0    96 12929 22362  1  1 99  0  0
 0  0      0 58559640 169184 3309040    0    0     0     0 6997 10351  1  0 99  0  0
 0  0      0 58559900 169232 3309048    0    0     0   104 14328 24509  1  0 99  0  0
 0  0      0 58558128 169232 3309048    0    0     0   180 7371 11421  2  2 96  0  0
 0  0      0 58553664 169256 3309052    0    0     0   104 8327 13394  1  1 99  0  0
 0  0      0 58553664 169280 3309052    0    0     0   116 9897 16485  1  1 99  0  0
 0  0      0 58553408 169320 3309052    0    0     0    88 8941 14489  1  0 99  0  0
 0  0      0 58553664 169344 3309052    0    0     0    52 9249 14932  0  0 99  0  0
 0  0      0 58557384 169344 3309052    0    0     0     0 8898 14460  1  1 99  0  0
 0  0      0 58557384 169368 3309040    0    0     0    52 8653 14039  0  0 99  0  0
 0  0      0 58553160 169392 3309056    0    0     0    56 11641 20061  1  1 98  0  0
 0  0      0 58552652 169432 3309056    0    0     0   100 9249 15084  1  0 99  0  0
 0  0      0 58557644 169432 3309056    0    0     0     0 12576 21415  1  1 99  0  0
 0  0      0 58557388 169432 3309056    0    0     0     0 8678 13941  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58552908 169480 3309060    0    0     0   100 10887 18170  1  0 99  0  0
 0  0      0 58552656 169504 3309060    0    0     0    52 11314 19572  1  1 99  0  0
 1  0      0 58556880 169504 3309060    0    0     0     8 6236 9716  1  0 99  0  0
 0  0      0 58556628 169552 3309012    0    0     0   104 8895 14775  1  0 99  0  0
 0  0      0 58556628 169552 3309060    0    0     0     4 6743 10965  1  0 99  0  0
 0  1      0 58552656 169592 3309052    0    0     0    84 13955 24791  1  1 98  0  0
 0  0      0 58564060 169616 3309036    0    0     0    52 11085 18691  1  0 99  0  0
 0  0      0 58558472 169640 3309060    0    0     0    60 11399 18872  1  0 99  0  0
 0  0      0 58558224 169664 3309064    0    0     0    72 10759 18504  1  0 99  0  0
 0  0      0 58558228 169664 3309064    0    0     0     0 7844 12733  0  0 99  0  0
 0  0      0 58562708 169704 3309024    0    0     0    88 16118 28741  1  1 98  0  0
 1  0      0 58557972 169704 3309068    0    0     0     0 8902 14561  1  0 99  0  0
 0  0      0 58557972 169744 3309072    0    0     0    92 13960 24757  1  1 99  0  0
 0  0      0 58557972 169744 3309072    0    0     0    12 7413 11549  0  0 99  0  0
 0  0      0 58558228 169744 3309072    0    0     0     0 6458 9599  0  0 99  0  0
 0  0      0 58557724 169768 3309048    0    0     0    92 18463 32743  1  1 98  0  0
 0  0      0 58561700 169768 3309076    0    0     0     0 13073 22573  1  1 99  0  0
 0  0      0 58556968 169792 3309076    0    0     0    56 12565 21686  1  1 99  0  0
 0  0      0 58556712 169792 3309076    0    0     0     0 9392 15532  1  1 99  0  0
 0  0      0 58556968 169792 3309076    0    0     0     0 10416 17381  1  1 99  0  0
 0  0      0 58556716 169840 3309028    0    0     0   172 15519 26968  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 58560688 169840 3309080    0    0     0     0 7893 12422  1  0 99  0  0
 0  0      0 58561200 169888 3309056    0    0     0   104 9903 16194  0  0 99  0  0
 0  0      0 58556464 169888 3309080    0    0     0     0 7625 11876  0  0 99  0  0
